round,match_id,home_team,away_team,score_final_dom,score_final_ext,nb_buts_total,nb_buts_dom,nb_buts_ext,minutes_buts,nb_evenements,premier_but_minute,premier_but_equipe,intervalle_moyen,intervalle_max,intervalle_min,victoire
5,73348887,Mozambique,Morocco,1,3,4,1,3,,0,,,0,0,0,ext
5,73348888,Tanzania,South Africa,0,1,1,0,1,,0,,,0,0,0,ext
5,73348889,Comoros,Senegal,0,0,0,0,0,,0,,,0,0,0,nul
5,73348890,Burkina Faso,Ivory Coast,0,1,1,0,1,,0,,,0,0,0,ext
5,73348891,Egypt,Zambia,4,0,4,4,0,,0,,,0,0,0,dom
5,73348892,Benin,Uganda,0,1,1,0,1,,0,,,0,0,0,ext
5,73348893,Tunisia,Cameroon,2,0,2,2,0,,0,,,0,0,0,dom
5,73348894,Angola,Mali,0,0,0,0,0,,0,,,0,0,0,nul
5,73348895,Equatorial Guinea,Algeria,2,1,3,2,1,,0,,,0,0,0,dom
5,73348896,Botswana,Sudan,2,0,2,2,0,,0,,,0,0,0,dom
5,73348897,DR Congo,Nigeria,0,1,1,0,1,,0,,,0,0,0,ext
5,73348898,Gabon,Zimbabwe,1,1,2,1,1,,0,,,0,0,0,nul
5,73348887,Mozambique,Morocco,1,3,4,1,3,,0,,,0,0,0,ext
5,73348888,Tanzania,South Africa,0,1,1,0,1,,0,,,0,0,0,ext
5,73348889,Comoros,Senegal,0,0,0,0,0,,0,,,0,0,0,nul
5,73348890,Burkina Faso,Ivory Coast,0,1,1,0,1,,0,,,0,0,0,ext
5,73348891,Egypt,Zambia,4,0,4,4,0,,0,,,0,0,0,dom
5,73348892,Benin,Uganda,0,1,1,0,1,,0,,,0,0,0,ext
5,73348893,Tunisia,Cameroon,2,0,2,2,0,,0,,,0,0,0,dom
5,73348894,Angola,Mali,0,0,0,0,0,,0,,,0,0,0,nul
5,73348895,Equatorial Guinea,Algeria,2,1,3,2,1,,0,,,0,0,0,dom
5,73348896,Botswana,Sudan,2,0,2,2,0,,0,,,0,0,0,dom
5,73348897,DR Congo,Nigeria,0,1,1,0,1,,0,,,0,0,0,ext
5,73348898,Gabon,Zimbabwe,1,1,2,1,1,,0,,,0,0,0,nul
6,73348899,Uganda,Gabon,0,0,0,0,0,,0,,,0,0,0,nul
6,73348900,Zimbabwe,Angola,0,0,0,0,0,,0,,,0,0,0,nul
6,73348901,Mali,Morocco,0,0,0,0,0,,0,,,0,0,0,nul
6,73348902,Tunisia,Comoros,2,0,2,2,0,,0,,,0,0,0,dom
6,73348903,Nigeria,Tanzania,0,0,0,0,0,,0,,,0,0,0,nul
6,73348904,Sudan,Mozambique,0,1,1,0,1,,0,,,0,0,0,ext
6,73348905,Algeria,DR Congo,6,0,6,6,0,,0,,,0,0,0,dom
6,73348906,Cameroon,Equatorial Guinea,0,1,1,0,1,,0,,,0,0,0,ext
6,73348907,Senegal,Egypt,0,0,0,0,0,,0,,,0,0,0,nul
6,73348908,Ivory Coast,Botswana,0,1,1,0,1,,0,,,0,0,0,ext
6,73348909,Zambia,Benin,0,0,0,0,0,,0,,,0,0,0,nul
6,73348910,South Africa,Burkina Faso,0,0,0,0,0,,0,,,0,0,0,nul
6,73348899,Uganda,Gabon,0,0,0,0,0,,0,,,0,0,0,nul
6,73348900,Zimbabwe,Angola,0,0,0,0,0,,0,,,0,0,0,nul
6,73348901,Mali,Morocco,0,0,0,0,0,,0,,,0,0,0,nul
6,73348902,Tunisia,Comoros,2,0,2,2,0,,0,,,0,0,0,dom
6,73348903,Nigeria,Tanzania,0,0,0,0,0,,0,,,0,0,0,nul
6,73348904,Sudan,Mozambique,0,1,1,0,1,,0,,,0,0,0,ext
6,73348905,Algeria,DR Congo,6,0,6,6,0,,0,,,0,0,0,dom
6,73348906,Cameroon,Equatorial Guinea,0,1,1,0,1,,0,,,0,0,0,ext
6,73348907,Senegal,Egypt,0,0,0,0,0,,0,,,0,0,0,nul
6,73348908,Ivory Coast,Botswana,0,1,1,0,1,,0,,,0,0,0,ext
6,73348909,Zambia,Benin,0,0,0,0,0,,0,,,0,0,0,nul
6,73348910,South Africa,Burkina Faso,0,0,0,0,0,,0,,,0,0,0,nul
21,73349079,Zambia,Sudan,0,0,0,0,0,,0,,,0,0,0,nul
21,73349080,Cameroon,Angola,1,0,1,1,0,,0,,,0,0,0,dom
21,73349081,Equatorial Guinea,Tanzania,0,2,2,0,2,,0,,,0,0,0,ext
21,73349082,Egypt,Benin,2,0,2,2,0,,0,,,0,0,0,dom
21,73349083,Algeria,Morocco,2,0,2,2,0,,0,,,0,0,0,dom
21,73349084,Comoros,Gabon,1,0,1,1,0,,0,,,0,0,0,dom
21,73349085,Tunisia,Burkina Faso,5,0,5,5,0,,0,,,0,0,0,dom
21,73349086,Senegal,Botswana,2,0,2,2,0,,0,,,0,0,0,dom
21,73349087,Uganda,Ivory Coast,2,0,2,2,0,,0,,,0,0,0,dom
21,73349088,Mozambique,DR Congo,0,0,0,0,0,,0,,,0,0,0,nul
21,73349089,South Africa,Zimbabwe,2,1,3,2,1,,0,,,0,0,0,dom
21,73349090,Nigeria,Mali,0,0,0,0,0,,0,,,0,0,0,nul
22,73349091,Burkina Faso,Equatorial Guinea,6,0,6,6,0,,0,,,0,0,0,dom
22,73349092,Zimbabwe,Nigeria,1,1,2,1,1,,0,,,0,0,0,nul
22,73349093,Botswana,Tunisia,0,0,0,0,0,,0,,,0,0,0,nul
22,73349094,South Africa,Uganda,1,0,1,1,0,,0,,,0,0,0,dom
22,73349095,Angola,Comoros,0,0,0,0,0,,0,,,0,0,0,nul
22,73349096,Tanzania,DR Congo,0,0,0,0,0,,0,,,0,0,0,nul
22,73349097,Benin,Mozambique,0,3,3,0,3,,0,,,0,0,0,ext
22,73349098,Mali,Algeria,1,0,1,1,0,,0,,,0,0,0,dom
22,73349099,Gabon,Egypt,0,4,4,0,4,,0,,,0,0,0,ext
22,73349100,Morocco,Cameroon,2,1,3,2,1,,0,,,0,0,0,dom
22,73349101,Sudan,Senegal,0,2,2,0,2,,0,,,0,0,0,ext
22,73349102,Ivory Coast,Zambia,1,0,1,1,0,,0,,,0,0,0,dom
23,73349103,Algeria,Zimbabwe,1,0,1,1,0,,0,,,0,0,0,dom
23,73349104,Tunisia,Sudan,0,1,1,0,1,,0,,,0,0,0,ext
23,73349105,Zambia,South Africa,2,0,2,2,0,,0,,,0,0,0,dom
23,73349106,Cameroon,Mali,1,0,1,1,0,,0,,,0,0,0,dom
23,73349107,Nigeria,Uganda,0,0,0,0,0,,0,,,0,0,0,nul
23,73349108,Mozambique,Tanzania,0,0,0,0,0,,0,,,0,0,0,nul
23,73349109,Equatorial Guinea,Botswana,0,0,0,0,0,,0,,,0,0,0,nul
23,73349110,Comoros,Morocco,1,0,1,1,0,,0,,,0,0,0,dom
23,73349111,Egypt,Angola,2,0,2,2,0,,0,,,0,0,0,dom
23,73349112,Benin,Gabon,1,3,4,1,3,,0,,,0,0,0,ext
23,73349113,DR Congo,Burkina Faso,0,2,2,0,2,,0,,,0,0,0,ext
23,73349114,Senegal,Ivory Coast,1,2,3,1,2,,0,,,0,0,0,ext
24,73349115,South Africa,Senegal,0,1,1,0,1,,0,,,0,0,0,ext
24,73349116,Gabon,Mozambique,2,0,2,2,0,,0,,,0,0,0,dom
24,73349117,Burkina Faso,Tanzania,1,0,1,1,0,,0,,,0,0,0,dom
24,73349118,Uganda,Algeria,0,0,0,0,0,,0,,,0,0,0,nul
24,73349119,Ivory Coast,Tunisia,1,0,1,1,0,,0,,,0,0,0,dom
24,73349120,Morocco,Egypt,4,0,4,4,0,,0,,,0,0,0,dom
24,73349121,Nigeria,Zambia,0,0,0,0,0,,0,,,0,0,0,nul
24,73349122,Zimbabwe,Cameroon,1,0,1,1,0,,0,,,0,0,0,dom
24,73349123,Sudan,Equatorial Guinea,0,0,0,0,0,,0,,,0,0,0,nul
24,73349124,Botswana,DR Congo,0,0,0,0,0,,0,,,0,0,0,nul
24,73349125,Angola,Benin,4,1,5,4,1,,0,,,0,0,0,dom
24,73349126,Mali,Comoros,0,1,1,0,1,,0,,,0,0,0,ext
25,73349127,Cameroon,Uganda,1,1,2,1,1,,0,,,0,0,0,nul
25,73349128,Algeria,Zambia,3,1,4,3,1,,0,,,0,0,0,dom
25,73349129,Equatorial Guinea,Ivory Coast,1,0,1,1,0,,0,,,0,0,0,dom
25,73349130,Senegal,Nigeria,0,0,0,0,0,,0,,,0,0,0,nul
25,73349131,Mozambique,Burkina Faso,0,0,0,0,0,,0,,,0,0,0,nul
25,73349132,Tunisia,South Africa,3,1,4,3,1,,0,,,0,0,0,dom
25,73349133,Gabon,Angola,0,4,4,0,4,,0,,,0,0,0,ext
25,73349134,Comoros,Zimbabwe,1,0,1,1,0,,0,,,0,0,0,dom
25,73349135,Benin,Morocco,0,2,2,0,2,,0,,,0,0,0,ext
25,73349136,DR Congo,Sudan,2,0,2,2,0,,0,,,0,0,0,dom
25,73349137,Egypt,Mali,0,0,0,0,0,,0,,,0,0,0,nul
25,73349138,Tanzania,Botswana,0,1,1,0,1,,0,,,0,0,0,ext
27,73349151,Comoros,Zambia,1,0,1,1,0,,0,,,0,0,0,dom
27,73349152,Equatorial Guinea,Nigeria,0,0,0,0,0,,0,,,0,0,0,nul
27,73349153,Tunisia,Algeria,1,0,1,1,0,,0,,,0,0,0,dom
27,73349154,Angola,Morocco,0,0,0,0,0,,0,,,0,0,0,nul
27,73349155,Mozambique,Botswana,1,2,3,1,2,,0,,,0,0,0,ext
27,73349156,Tanzania,Ivory Coast,0,0,0,0,0,,0,,,0,0,0,nul
27,73349157,Benin,Zimbabwe,1,0,1,1,0,,0,,,0,0,0,dom
27,73349158,DR Congo,South Africa,0,2,2,0,2,,0,,,0,0,0,ext
27,73349159,Burkina Faso,Sudan,3,0,3,3,0,,0,,,0,0,0,dom
27,73349160,Cameroon,Senegal,3,0,3,3,0,,0,,,0,0,0,dom
27,73349161,Gabon,Mali,0,2,2,0,2,,0,,,0,0,0,ext
27,73349162,Egypt,Uganda,0,0,0,0,0,,0,,,0,0,0,nul
28,73349163,Morocco,Mozambique,1,1,2,1,1,,0,,,0,0,0,nul
28,73349164,South Africa,Tanzania,1,2,3,1,2,,0,,,0,0,0,ext
28,73349165,Senegal,Comoros,0,0,0,0,0,,0,,,0,0,0,nul
28,73349166,Ivory Coast,Burkina Faso,4,0,4,4,0,,0,,,0,0,0,dom
28,73349167,Zambia,Egypt,0,2,2,0,2,,0,,,0,0,0,ext
28,73349168,Uganda,Benin,1,1,2,1,1,,0,,,0,0,0,nul
28,73349169,Cameroon,Tunisia,0,0,0,0,0,,0,,,0,0,0,nul
28,73349170,Mali,Angola,1,0,1,1,0,,0,,,0,0,0,dom
28,73349171,Algeria,Equatorial Guinea,5,0,5,5,0,,0,,,0,0,0,dom
28,73349172,Sudan,Botswana,0,0,0,0,0,,0,,,0,0,0,nul
28,73349173,Nigeria,DR Congo,0,0,0,0,0,,0,,,0,0,0,nul
28,73349174,Zimbabwe,Gabon,1,0,1,1,0,,0,,,0,0,0,dom
29,73349175,Gabon,Uganda,2,1,3,2,1,,0,,,0,0,0,dom
29,73349176,Angola,Zimbabwe,1,1,2,1,1,,0,,,0,0,0,nul
29,73349177,Morocco,Mali,1,0,1,1,0,,0,,,0,0,0,dom
29,73349178,Comoros,Tunisia,0,0,0,0,0,,0,,,0,0,0,nul
29,73349179,Tanzania,Nigeria,0,1,1,0,1,,0,,,0,0,0,ext
29,73349180,Mozambique,Sudan,1,0,1,1,0,,0,,,0,0,0,dom
29,73349181,DR Congo,Algeria,0,1,1,0,1,,0,,,0,0,0,ext
29,73349182,Equatorial Guinea,Cameroon,0,0,0,0,0,,0,,,0,0,0,nul
29,73349183,Egypt,Senegal,1,1,2,1,1,,0,,,0,0,0,nul
29,73349184,Botswana,Ivory Coast,0,0,0,0,0,,0,,,0,0,0,nul
29,73349185,Benin,Zambia,1,1,2,1,1,,0,,,0,0,0,nul
29,73349186,Burkina Faso,South Africa,0,2,2,0,2,,0,,,0,0,0,ext
30,73349187,Senegal,Benin,0,0,0,0,0,,0,,,0,0,0,nul
30,73349188,Cameroon,DR Congo,0,0,0,0,0,,0,,,0,0,0,nul
30,73349189,Nigeria,Burkina Faso,4,0,4,4,0,,0,,,0,0,0,dom
30,73349190,Zimbabwe,Morocco,1,1,2,1,1,,0,,,0,0,0,nul
30,73349191,Comoros,Equatorial Guinea,0,1,1,0,1,,0,,,0,0,0,ext
30,73349192,Tunisia,Egypt,0,0,0,0,0,,0,,,0,0,0,nul
30,73349193,Mali,Mozambique,1,1,2,1,1,,0,,,0,0,0,nul
30,73349194,Algeria,Tanzania,1,1,2,1,1,,0,,,0,0,0,nul
30,73349195,South Africa,Botswana,0,2,2,0,2,,0,,,0,0,0,ext
30,73349196,Zambia,Gabon,0,0,0,0,0,,0,,,0,0,0,nul
30,73349197,Ivory Coast,Sudan,0,0,0,0,0,,0,,,0,0,0,nul
30,73349198,Uganda,Angola,0,0,0,0,0,,0,,,0,0,0,nul
31,73349199,Tanzania,Cameroon,2,0,2,2,0,,0,,,0,0,0,dom
31,73349200,DR Congo,Comoros,1,2,3,1,2,,0,,,0,0,0,ext
31,73349201,Benin,Tunisia,4,2,6,4,2,,0,,,0,0,0,dom
31,73349202,Sudan,South Africa,2,2,4,2,2,,0,,,0,0,0,nul
31,73349203,Gabon,Senegal,0,0,0,0,0,,0,,,0,0,0,nul
31,73349204,Burkina Faso,Algeria,2,3,5,2,3,,0,,,0,0,0,ext
31,73349205,Angola,Zambia,3,0,3,3,0,,0,,,0,0,0,dom
31,73349206,Morocco,Uganda,3,0,3,3,0,,0,,,0,0,0,dom
31,73349207,Botswana,Nigeria,0,4,4,0,4,,0,,,0,0,0,ext
31,73349208,Mali,Zimbabwe,2,0,2,2,0,,0,,,0,0,0,dom
31,73349209,Mozambique,Ivory Coast,0,0,0,0,0,,0,,,0,0,0,nul
31,73349210,Egypt,Equatorial Guinea,4,0,4,4,0,,0,,,0,0,0,dom
32,73349211,Zimbabwe,Mozambique,0,1,1,0,1,,0,,,0,0,0,ext
32,73349212,Tunisia,Gabon,1,0,1,1,0,,0,,,0,0,0,dom
32,73349213,Comoros,Tanzania,0,1,1,0,1,,0,,,0,0,0,ext
32,73349214,Egypt,DR Congo,1,1,2,1,1,,0,,,0,0,0,nul
32,73349215,Senegal,Angola,3,0,3,3,0,,0,,,0,0,0,dom
32,73349216,South Africa,Ivory Coast,4,0,4,4,0,,0,,,0,0,0,dom
32,73349217,Uganda,Mali,1,1,2,1,1,,0,,,0,0,0,nul
32,73349218,Algeria,Botswana,4,1,5,4,1,,0,,,0,0,0,dom
32,73349219,Cameroon,Burkina Faso,4,0,4,4,0,,0,,,0,0,0,dom
32,73349220,Zambia,Morocco,1,1,2,1,1,,0,,,0,0,0,nul
32,73349221,Nigeria,Sudan,1,0,1,1,0,,0,,,0,0,0,dom
32,73349222,Equatorial Guinea,Benin,0,0,0,0,0,,0,,,0,0,0,nul
33,73349223,Botswana,Cameroon,1,1,2,1,1,,0,,,0,0,0,nul
33,73349224,Angola,Tunisia,0,0,0,0,0,,0,,,0,0,0,nul
33,73349225,Sudan,Algeria,0,0,0,0,0,,0,,,0,0,0,nul
33,73349226,Mozambique,South Africa,0,1,1,0,1,,0,,,0,0,0,ext
33,73349227,Ivory Coast,Nigeria,2,2,4,2,2,,0,,,0,0,0,nul
33,73349228,Gabon,Equatorial Guinea,0,2,2,0,2,,0,,,0,0,0,ext
33,73349229,Mali,Zambia,2,0,2,2,0,,0,,,0,0,0,dom
33,73349230,Burkina Faso,Comoros,2,1,3,2,1,,0,,,0,0,0,dom
33,73349231,Tanzania,Egypt,0,0,0,0,0,,0,,,0,0,0,nul
33,73349232,Benin,DR Congo,0,1,1,0,1,,0,,,0,0,0,ext
33,73349233,Morocco,Senegal,3,0,3,3,0,,0,,,0,0,0,dom
33,73349234,Zimbabwe,Uganda,0,0,0,0,0,,0,,,0,0,0,nul
34,73349235,Tunisia,Morocco,1,0,1,1,0,,0,,,0,0,0,dom
34,73349236,Comoros,Botswana,0,0,0,0,0,,0,,,0,0,0,nul
34,73349237,Egypt,Burkina Faso,4,0,4,4,0,,0,,,0,0,0,dom
