round,match_id,home_team,away_team,score_final_dom,score_final_ext,nb_buts_total,nb_buts_dom,nb_buts_ext,victoire,cycle
1,73367240,Algeria,Tanzania,2,0,2,2,0,dom,1
1,73367242,Angola,Cameroon,2,0,2,2,0,dom,1
1,73367241,Botswana,Benin,1,0,1,1,0,dom,1
1,73367238,Equatorial Guinea,Burkina Faso,1,2,3,1,2,ext,1
1,73367235,Gabon,Zambia,1,2,3,1,2,ext,1
1,73367237,Ivory Coast,Egypt,0,1,1,0,1,ext,1
1,73367233,Morocco,Zimbabwe,2,0,2,2,0,dom,1
1,73367234,Mozambique,Mali,0,0,0,0,0,nul,1
1,73367232,Senegal,Sudan,3,0,3,3,0,dom,1
1,73367236,South Africa,Nigeria,1,0,1,1,0,dom,1
1,73367239,Tunisia,DR Congo,1,0,1,1,0,dom,1
1,73367231,Uganda,Comoros,1,0,1,1,0,dom,1
2,73353886,Angola,Egypt,0,1,1,0,1,ext,1
2,73353877,DR Congo,Sudan,1,0,1,1,0,dom,1
2,73353880,Equatorial Guinea,Algeria,0,1,1,0,1,ext,1
2,73353883,Gabon,Ivory Coast,0,0,0,0,0,nul,1
2,73353878,Mali,Burkina Faso,2,0,2,2,0,dom,1
2,73353887,Morocco,Comoros,3,0,3,3,0,dom,1
2,73353879,Mozambique,Cameroon,0,1,1,0,1,ext,1
2,73353888,South Africa,Senegal,1,0,1,1,0,dom,1
2,73353881,Tanzania,Benin,0,0,0,0,0,nul,1
2,73353884,Uganda,Tunisia,0,0,0,0,0,nul,1
2,73353882,Zambia,Nigeria,0,1,1,0,1,ext,1
2,73353885,Zimbabwe,Botswana,1,0,1,1,0,dom,1
3,73353890,Algeria,Comoros,4,0,4,4,0,dom,1
3,73353892,Benin,Zambia,3,2,5,3,2,dom,1
3,73353889,Botswana,Angola,0,0,0,0,0,nul,1
3,73353893,Burkina Faso,Morocco,0,1,1,0,1,ext,1
3,73353895,Cameroon,Equatorial Guinea,3,0,3,3,0,dom,1
3,73353894,Egypt,Mozambique,0,0,0,0,0,nul,1
3,73353900,Ivory Coast,Zimbabwe,0,0,0,0,0,nul,1
3,73353896,Nigeria,South Africa,1,0,1,1,0,dom,1
3,73353898,Senegal,Uganda,3,0,3,3,0,dom,1
3,73353899,Sudan,Mali,0,3,3,0,3,ext,1
3,73353891,Tanzania,Gabon,1,2,3,1,2,ext,1
3,73353897,Tunisia,DR Congo,0,0,0,0,0,nul,1
4,73353908,Algeria,Burkina Faso,5,0,5,5,0,dom,1
4,73353910,Angola,Ivory Coast,2,0,2,2,0,dom,1
4,73353903,Comoros,Cameroon,1,0,1,1,0,dom,1
4,73353905,DR Congo,Senegal,0,0,0,0,0,nul,1
4,73353911,Equatorial Guinea,Egypt,1,2,3,1,2,ext,1
4,73353912,Gabon,Benin,1,0,1,1,0,dom,1
4,73353906,Mali,Tunisia,0,0,0,0,0,nul,1
4,73353907,Morocco,Sudan,3,0,3,3,0,dom,1
4,73353909,Mozambique,Botswana,0,0,0,0,0,nul,1
4,73353901,South Africa,Zambia,3,1,4,3,1,dom,1
4,73353904,Uganda,Nigeria,0,0,0,0,0,nul,1
4,73353902,Zimbabwe,Tanzania,1,1,2,1,1,nul,1
5,73348894,Angola,Mali,0,0,0,0,0,nul,1
5,73348892,Benin,Uganda,0,1,1,0,1,ext,1
5,73348896,Botswana,Sudan,2,0,2,2,0,dom,1
5,73348890,Burkina Faso,Ivory Coast,0,1,1,0,1,ext,1
5,73348889,Comoros,Senegal,0,0,0,0,0,nul,1
5,73348897,DR Congo,Nigeria,0,1,1,0,1,ext,1
5,73348891,Egypt,Zambia,4,0,4,4,0,dom,1
5,73348895,Equatorial Guinea,Algeria,2,1,3,2,1,dom,1
5,73348898,Gabon,Zimbabwe,1,1,2,1,1,nul,1
5,73348887,Mozambique,Morocco,1,3,4,1,3,ext,1
5,73348888,Tanzania,South Africa,0,1,1,0,1,ext,1
5,73348893,Tunisia,Cameroon,2,0,2,2,0,dom,1
6,73348905,Algeria,DR Congo,6,0,6,6,0,dom,1
6,73348906,Cameroon,Equatorial Guinea,0,1,1,0,1,ext,1
6,73348908,Ivory Coast,Botswana,0,1,1,0,1,ext,1
6,73348901,Mali,Morocco,0,0,0,0,0,nul,1
6,73348903,Nigeria,Tanzania,0,0,0,0,0,nul,1
6,73348907,Senegal,Egypt,0,0,0,0,0,nul,1
6,73348910,South Africa,Burkina Faso,0,0,0,0,0,nul,1
